Date,TM,SHELL,AAPL
2/25/2021,149.259995,1243.284058,118.617828
2/26/2021,147.929993,1284.732544,118.882553
3/1/2021,149.339996,1296.005005,125.2845
3/2/2021,149.210007,1252.822388,122.666862
3/3/2021,148.830002,1271.725342,119.666855
3/4/2021,146.850006,1274.847412,117.774689
3/5/2021,148.520004,1292.363281,119.039398
3/8/2021,148.229996,1320.458374,114.078606
3/9/2021,151.539993,1342.656616,118.715858
3/10/2021,151.880005,1340.575562,117.62764
3/11/2021,150.360001,1344.737915,119.56881
3/12/2021,150.529999,1356.877319,118.657028
3/15/2021,152.899994,1361.560059,121.558998
3/16/2021,152.100006,1373.179199,123.10804
3/17/2021,153.639999,1344.390869,122.313911
3/18/2021,157.710007,1320.978394,118.166847
3/19/2021,158.580002,1321.325317,117.637428
3/22/2021,154.479996,1309.185425,120.970772
3/23/2021,151.339996,1297.56604,120.137444
3/24/2021,150.669998,1287.507568,117.735466
3/25/2021,151.070007,1245.36499,118.22567
3/26/2021,153.369995,1268.777466,118.833496
3/29/2021,154.899994,1232.184692,119.009987
3/30/2021,153.869995,1257.851929,117.549217
3/31/2021,156.059998,1251.435181,119.755081
4/1/2021,154.160004,1253.862915,120.588432
4/5/2021,155.380005,1225.941772,123.431564
4/6/2021,153.649994,1224.554077,123.735497
4/7/2021,154.699997,1236.173462,125.392349
4/8/2021,153.380005,1249.00708,127.804092
4/9/2021,154.279999,1222.126099,130.392365
4/12/2021,154.089996,1210.33313,128.66687
4/13/2021,155.770004,1216.229614,131.794296
4/14/2021,156.220001,1209.81311,129.441376
4/15/2021,157.309998,1247.272583,131.862961
4/16/2021,157.570007,1238.775024,131.529633
4/19/2021,156.410004,1225.074463,132.196304
4/20/2021,154.100006,1211.200684,130.500214
4/21/2021,155.139999,1170.792358,130.882553
4/22/2021,154.779999,1184.666382,129.353165
4/23/2021,154.990005,1182.064941,131.686462
4/26/2021,153.539993,1175.994995,132.078629
4/27/2021,152.809998,1186.747681,131.755096
4/28/2021,153.259995,1175.127686,130.960999
4/29/2021,152.429993,1198.540283,130.862946
4/30/2021,150.770004,1183.625732,128.882568
5/3/2021,152.229996,1183.625732,129.941376
5/4/2021,150.589996,1198.02002,125.343315
5/5/2021,151.419998,1220.39209,125.588417
5/6/2021,152.960007,1232.704956,127.196274
5/7/2021,153.649994,1240.162231,127.873917
5/10/2021,155.059998,1232.704956,124.574181
5/11/2021,152.240005,1185.880005,123.651047
5/12/2021,153.520004,1225.247803,120.567368
5/13/2021,155.229996,1209.205566,122.727898
5/14/2021,155.850006,1241.220093,125.163414
5/17/2021,158.679993,1247.693237,124.004593
5/18/2021,160.660004,1242.269775,122.610069
5/19/2021,159.289993,1207.630981,122.452934
5/20/2021,160.220001,1211.479858,125.025925
5/21/2021,161.160004,1223.551025,123.179649
5/24/2021,162.779999,1232.122925,124.819672
5/25/2021,162.240005,1201.858032,124.623268
5/26/2021,164.020004,1205.706665,124.574181
5/27/2021,165.550003,1182.264404,123.032349
5/28/2021,165.979996,1177.015747,122.374359
6/1/2021,172.339996,1202.382813,122.050301
6/2/2021,176.630005,1226.175171,122.816299
6/3/2021,179.669998,1225.650146,121.32357
6/4/2021,182.410004,1219.002319,123.631393
6/7/2021,180.800003,1218.127563,123.64122
6/8/2021,179.610001,1210.43042,124.466148
6/9/2021,180.539993,1226.52478,124.849167
6/10/2021,180.179993,1233.172852,123.847458
6/11/2021,181.470001,1242.444702,125.065208
6/14/2021,180.589996,1275.68396,128.139053
6/15/2021,182.449997,1298.60144,127.314117
6/16/2021,183.839996,1289.504517,127.814964
6/17/2021,185.199997,1280.58252,129.425537
6/18/2021,177.029999,1240.520386,128.119431
6/21/2021,178.880005,1245.59375,129.926392
6/22/2021,179.389999,1270.610718,131.576248
6/23/2021,177.710007,1288.104858,131.3013
6/24/2021,177.669998,1296.851807,131.016495
6/25/2021,178.100006,1307.173828,130.721878
6/28/2021,177.070007,1263.437866,132.361908
6/29/2021,176.729996,1267.286621,133.884064
6/30/2021,174.839996,1265.537354,134.502777
7/1/2021,175.479996,1302.100098,134.807236
7/2/2021,176.029999,1291.60376,137.448975
7/6/2021,174.929993,1303.324707,139.472015
7/7/2021,175.649994,1276.383667,141.976257
7/8/2021,174.229996,1269.385742,140.67012
7/9/2021,177.789993,1277.083496,142.506561
7/12/2021,178.899994,1284.43103,141.907516
7/13/2021,179.179993,1273.934448,143.027054
7/14/2021,180,1265.712158,146.474075
7/15/2021,178.929993,1262.388428,145.816101
7/16/2021,178.130005,1231.073364,143.763596
7/19/2021,176.300003,1224.075562,139.894302
7/20/2021,178.119995,1171.243042,143.527893
7/21/2021,179.679993,1178.415771,142.791367
7/22/2021,177.990005,1213.929077,144.166275
7/23/2021,179.850006,1193.635742,145.894684
7/26/2021,179.5,1194.160645,146.316925
7/27/2021,178.440002,1224.600708,144.13678
7/28/2021,179.869995,1224.075562,142.378906
7/29/2021,181.419998,1229.499023,143.027054
7/30/2021,179.839996,1275.858643,143.243118
8/2/2021,181.880005,1262.388428,142.90921
8/3/2021,185.949997,1271.310547,144.716187
8/4/2021,182.179993,1293.87793,144.313553
8/5/2021,182.860001,1279.532715,144.4216
8/6/2021,180.720001,1296.501953,143.733109
8/9/2021,180.570007,1297.201904,143.683945
8/10/2021,179.899994,1286.355469,143.202011
8/11/2021,181.380005,1292.478149,143.457718
8/12/2021,180.940002,1304.024536,146.437836
8/13/2021,181.339996,1300.997925,146.644394
8/16/2021,180.600006,1291.793579,148.631119
8/17/2021,178.169998,1261.525269,147.716431
8/18/2021,175.729996,1281.173096,143.949478
8/19/2021,168.550003,1275.685913,144.283875
8/20/2021,164.660004,1225.416016,145.749344
8/23/2021,168.740005,1232.319336,147.24437
8/24/2021,171.020004,1258.693237,147.155792
8/25/2021,173.75,1269.667725,145.91655
8/26/2021,171.589996,1267.720947,145.110077
8/27/2021,173.880005,1267.543457,146.152573
8/30/2021,172.860001,1286.660522,150.59816
8/31/2021,174.229996,1267.012695,149.329391
9/1/2021,176.210007,1264.003418,149.998199
9/2/2021,176.240005,1288.076538,151.119446
9/3/2021,179.270004,1268.782715,151.758713
9/7/2021,181.639999,1277.278931,154.10939
9/8/2021,180,1276.393921,152.555374
9/9/2021,180.070007,1269.313599,151.532532
9/10/2021,176.300003,1254.799316,146.51651
9/13/2021,178.460007,1255.684082,147.08696
9/14/2021,179.389999,1285.244385,145.680496
9/15/2021,181.710007,1283.297119,146.575516
9/16/2021,181.940002,1306.484863,146.339447
9/17/2021,180.949997,1295.864624,143.654449
9/20/2021,176.710007,1288.607666,140.585831
9/21/2021,181.899994,1271.614868,141.067719
9/22/2021,181.589996,1317.813354,143.447876
9/23/2021,182.789993,1343.302734,144.411774
9/24/2021,182.570007,1348.612549,144.50029
9/27/2021,186.520004,1353.391724,142.975784
9/28/2021,184.850006,1413.928223,139.572815
9/29/2021,185.449997,1453.046387,140.4776
9/30/2021,177.75,1461.365601,139.16954
10/1/2021,177.619995,1464.729004,140.300583
10/4/2021,171.809998,1458.356812,136.848434
10/5/2021,172.139999,1480.305542,138.785995
10/6/2021,166.970001,1503.84729,139.661301
10/7/2021,169.470001,1462.604736,140.930054
10/8/2021,171.970001,1480.128418,140.546448
10/11/2021,175.149994,1512.166626,140.457962
10/12/2021,177.130005,1537.124634,139.179382
10/13/2021,175.770004,1532.168457,138.589249
10/14/2021,175.509995,1523.140869,141.392319
10/15/2021,176.270004,1544.204834,142.454544
10/18/2021,178.550003,1568.27771,144.136353
10/19/2021,178.669998,1564.914429,146.309952
10/20/2021,177.75,1573.941895,146.801712
10/21/2021,174.020004,1580.668091,147.018097
10/22/2021,173.399994,1554.293945,146.241104
10/25/2021,172.229996,1548.098877,146.19194
10/26/2021,173.199997,1571.640991,146.860764
10/27/2021,174.089996,1569.870728,146.398468
10/28/2021,176.479996,1562.613525,150.057236
10/29/2021,176.570007,1516.237915,147.332855
11/1/2021,179.979996,1487.739624,146.506683
11/2/2021,179.610001,1489.686768,147.54924
11/3/2021,181.070007,1470.57019,148.994995
11/4/2021,181.479996,null,148.473755
11/5/2021,179.279999,1467.384277,149.0056
11/8/2021,180.479996,1489.86377,148.178253
11/9/2021,176.320007,1492.341797,148.542664
11/10/2021,177.360001,1484.199463,145.696136
11/11/2021,179.029999,1487.916626,145.646896
11/12/2021,184.399994,1489.401855,147.735031
11/15/2021,184.389999,1468.288208,147.744858
11/16/2021,187.429993,1499.779785,148.729828
11/17/2021,186.210007,1521.609253,151.182404
11/18/2021,184.649994,1511.410156,155.496521
11/19/2021,185.960007,1485.823486,158.136261
11/22/2021,185.089996,1439.838623,158.599167
11/23/2021,185.059998,1445.206543,158.983322
11/24/2021,184.809998,1465.604248,159.505371
11/26/2021,179.830002,1482.960205,154.452484
11/29/2021,177.470001,1475.803345,157.830902
11/30/2021,177.850006,1392.243652,162.81485
12/1/2021,178.289993,1426.776978,162.292816
12/2/2021,183.160004,1410.852173,161.297989
12/3/2021,182.460007,1437.691528,159.40686
